%_large,%_midsize,%_small,total_sum
27.450609783538095,61.910805094280185,10.63858512218172,111105.0
26.71212882928174,63.577023498694516,9.710847672023743,123326.0
24.667390714091773,64.05538962802063,11.27721965788759,184150.0
25.80578264333817,63.17412327137384,11.020094085287987,183238.0
25.931472859021127,62.034757851656344,12.033769289322539,202314.0
24.544027528726964,63.76464279130566,11.691329679967378,179013.0
25.156268903496393,63.39764602860946,11.446085067894158,173579.0
26.519929398956382,62.92785387123557,10.552216729808046,181867.0
26.918344919849975,62.435796363983854,10.645858716166178,167436.0
24.114326216441388,64.93303821236275,10.952635571195863,160838.0
25.237451938065053,65.73556409989955,9.0269839620354,144345.0
26.54438578348664,65.28420326929009,8.171410947223281,110238.0
30.14052270186831,60.63235215840741,9.227125139724278,112722.0
31.57555338187878,60.47241241893997,7.952034199181249,138015.0
32.03426538736101,59.36550956454404,8.600225048094956,82649.0
35.38143847892153,55.8988545157017,8.719707005376764,51332.0
32.845651080945196,57.56326462208815,9.591084296966649,119340.0
30.34335018457296,58.87284479563548,10.78380501979156,134906.0
29.420277220817713,61.69122134077239,8.888501438409904,172065.0
28.418860369546216,62.90281591490891,8.678323715544867,161333.0
29.36797244992917,61.72745108499149,8.904576465079336,168711.0
24.460506505746846,68.35624319130446,7.1832503029487,163394.0
24.190157560413226,68.78103548311745,7.02880695646932,132711.0
18.94046759543992,71.83865015910366,9.220882245456409,224382.0
32.516703786191535,61.27967683471142,6.203619379097049,110903.0
31.345733997030827,61.98847262247838,6.665793380490786,114510.0
26.8048815394023,66.50381858159534,6.691299879002354,153722.0
21.347133447973786,70.65507283994678,7.997793712079426,154105.0
20.791239705273398,71.09391945629383,8.11484083843277,152141.0
21.072415087142954,69.68052710259676,9.24705781026029,162549.0
22.013835812413035,70.04984289363148,7.936321293955488,153081.0
21.50597958457623,70.79513423277962,7.698886182644153,146164.0
23.300120898820197,69.94135712399772,6.758521977182085,143922.0
25.408989221069756,67.85519625788082,6.73581452104942,122925.0
27.09973013076943,65.83334056455602,7.066929304674552,115241.0
28.42487417145686,65.02745766751927,6.547668161023863,109077.0
