make_and_model,Category
audi q3,SUV
chevrolet malibu,Sedan
cadillac escalade,SUV
chevrolet corvette,"Coupe, Convertible"
acura rlx,Sedan
chevrolet silverado,Pickup
bmw 3 series,Sedan
chrysler pacifica,Van/Minivan
chevrolet colorado,Pickup
bmw x3,SUV
acura tlx,Sedan
chevrolet silverado,Pickup
bmw 7 series,Sedan
ford fusion,Sedan
buick envision,SUV
audi sq5,SUV
audi r8,"Coupe, Convertible"
chevrolet traverse,SUV
acura mdx,SUV
infiniti qx80,SUV
buick encore,SUV
gmc sierra,Pickup
honda insight,Sedan
cadillac xt6,SUV
cadillac xt5,SUV
cadillac xt4,SUV
buick enclave,SUV
audi q5,SUV
hyundai santa fe,SUV
ford ecosport,SUV
ford escape,SUV
ford mustang,"Coupe, Convertible"
hyundai sonata,Sedan
ford edge,SUV
chevrolet camaro,Convertible
hyundai kona,SUV
chevrolet equinox,SUV
gmc sierra,Pickup
jeep gladiator,Pickup
bmw x7,SUV
cadillac ct6,Sedan
audi a7,Sedan
chevrolet blazer,SUV
ford f150 supercrew cab,Pickup
chevrolet suburban,SUV
honda civic,"Hatchback, Sedan, Coupe"
jeep compass,SUV
cadillac escalade,SUV
chrysler voyager,Van/Minivan
honda accord,Sedan
gmc terrain,SUV
chevrolet spark,Hatchback
gmc sierra,Pickup
hyundai nexo,SUV
hyundai veloster,Coupe
chevrolet silverado,Pickup
genesis g70,Sedan
cadillac ct5,Sedan
honda odyssey,Van/Minivan
hyundai elantra,Hatchback
acura rdx,SUV
gmc yukon,SUV
ford ranger,Pickup
ford expedition,SUV
hyundai kona,SUV
infiniti qx50,SUV
dodge durango,SUV
gmc yukon,SUV
hyundai palisade,SUV
honda ridgeline,Pickup
jeep cherokee,SUV
chevrolet bolt,Hatchback
ford expedition,SUV
hyundai elantra,Sedan
honda passport,SUV
dodge charger,Sedan
honda accord,Sedan
infiniti qx60,SUV
hyundai venue,SUV
honda pilot,SUV
jeep grand cherokee,SUV
chevrolet tahoe,SUV
gmc acadia,SUV
chevrolet impala,Sedan
honda cr v,SUV
bmw x5,SUV
infiniti q60,Coupe
ford ranger,Pickup
chevrolet trax,SUV
hyundai ioniq,Hatchback
jaguar e pace,SUV
hyundai tucson,SUV
ford explorer,SUV
honda hr v,SUV
jaguar i pace,SUV
infiniti q50,Sedan
genesis g80,Sedan
jaguar f pace,SUV
jeep renegade,SUV
hyundai accent,Sedan
jaguar f type,Convertible
jeep wrangler,SUV
kia sorento,SUV
kia rio,"Sedan, Hatchback"
land rover discovery sport,SUV
kia sedona,Van/Minivan
kia optima,Sedan
kia sportage,SUV
kia optima,Sedan
kia optima,Sedan
land rover range rover,SUV
kia telluride,SUV
kia forte,Sedan
jeep wrangler,SUV
kia soul,Wagon
land rover range rover,SUV
land rover range rover,SUV
kia stinger,Sedan
land rover discovery,SUV
land rover range rover,SUV
lexus es,Sedan
lexus lc,Coupe
lexus lx,SUV
lexus rc,Coupe
lexus gx,SUV
lexus is,Sedan
lexus gs,Sedan
lexus ls,Sedan
lexus ux,SUV
mercedes benz gls,SUV
mercedes benz cla,Sedan
mitsubishi outlander,SUV
lincoln mkz,Sedan
lincoln aviator,SUV
lexus nx,SUV
mazda cx 3,SUV
mitsubishi eclipse cross,SUV
mazda mazda3,"Sedan, Hatchback"
mitsubishi mirage,Sedan
lincoln navigator,SUV
nissan armada,SUV
mazda cx 5,SUV
lincoln corsair,SUV
lincoln navigator,SUV
mercedes benz g class,SUV
lincoln nautilus,SUV
lexus rx,SUV
nissan kicks,SUV
nissan murano,SUV
mazda mazda6,Sedan
mercedes benz c class,"Convertible, Sedan, Coupe"
nissan nv,Van/Minivan
mercedes benz gla,SUV
mazda cx 9,SUV
nissan nv,Van/Minivan
mercedes benz e class,"Coupe, Wagon, Sedan, Convertible"
mini countryman,SUV
mercedes benz gle,SUV
nissan maxima,Sedan
nissan 370z,Coupe
mercedes benz glc,SUV
mitsubishi mirage,Hatchback
nissan altima,Sedan
nissan gt r,Coupe
mitsubishi outlander,SUV
mitsubishi outlander,SUV
nissan nv,Van/Minivan
porsche panamera,Sedan
porsche taycan,Sedan
nissan pathfinder,SUV
nissan rogue,SUV
nissan nv,Van/Minivan
porsche 911,Convertible
nissan rogue,SUV
porsche macan,SUV
porsche cayenne,SUV
porsche cayenne,SUV
nissan nv,Van/Minivan
ram 3500 crew cab,Pickup
ram 1500 crew cab,Pickup
subaru brz,Coupe
nissan versa,Sedan
toyota avalon,Sedan
subaru wrx,Sedan
toyota camry,Sedan
subaru impreza,"Wagon, Sedan"
subaru ascent,SUV
subaru legacy,Sedan
toyota corolla,Hatchback
subaru crosstrek,SUV
toyota corolla,Sedan
toyota 86,Coupe
subaru forester,SUV
toyota avalon,Sedan
ram 2500 crew cab,Pickup
toyota 4runner,SUV
subaru outback,SUV
toyota c hr,SUV
toyota camry,Sedan
toyota corolla,Sedan
toyota gr supra,Coupe
toyota highlander,SUV
toyota prius,Hatchback
toyota prius prime,Hatchback
toyota rav4,SUV
toyota tacoma,Pickup
toyota sienna,Van/Minivan
toyota land cruiser,SUV
toyota yaris,Sedan
toyota rav4,SUV
toyota highlander,SUV
toyota sequoia,SUV
toyota tundra,Pickup
toyota tacoma,Pickup
toyota tundra,Pickup
volkswagen passat,Sedan
toyota yaris,Hatchback
acura mdx,SUV
acura rlx,Sedan
audi a6,Sedan
volvo xc40,SUV
audi a4,Sedan
audi q7,SUV
audi q8,SUV
audi rs 5,"Sedan, Coupe"
acura nsx,Coupe
alfa romeo 4c,Convertible
volvo xc60,SUV
volkswagen tiguan,SUV
volvo xc90,SUV1992
audi a8,Sedan
bmw 4 series,"Convertible, Sedan, Coupe"
acura ilx,Sedan
bmw 2 series,"Coupe, Convertible"
audi a3,"Convertible, Sedan"
audi s5,"Sedan, Coupe, Convertible"
audi a4,Wagon
audi e tron,SUV
volkswagen jetta,Sedan
audi rs 3,Sedan
alfa romeo stelvio,SUV
alfa romeo giulia,Sedan
audi a5,"Coupe, Sedan, Convertible"
audi s3,Sedan
audi s4,Sedan
