Features List,Mean RMSE small train,Mean RMSE midsize train,Mean RMSE large train,Mean RMSE small val,Mean RMSE midsize val,Mean RMSE large val,RMSE small test,RMSE midsize test,RMSE large test
"['total_sum', 'Population', 'Labour force', 'Employment', 'Full-time employment', 'Part-time employment', 'Unemployment', 'Unemployment rate', 'Participation rate', 'Employment rate', 'avg_oil_price', 'transit_ridership', 'dollar_ex_rate', 'gdp', 'interest_rate']",0.1155417289578286,0.4321775772237314,0.3688098827629685,8.25607726353688,36.41045549971659,31.624403337993,5.322006576001739,4.022861643283114,4.208648510891718
"['Average Monthly Oil Price', 'Interest Rate', 'Season']",0.7505845790113261,1.109379967992998,1.1137737269006849,2.0692240774204045,5.178297703374291,4.903557014366814,4.100780185949646,6.238597586381431,3.7462740372760575
['Interest Rate'],0.9639087286940596,1.2327493304313746,1.478087878540991,1.476597206867658,4.317812849308236,4.599439855192851,1.9090699864683207,8.850268797445004,7.488500019704233
['Average Monthly Oil Price'],0.7704191782135545,1.2574913359955808,1.2903338568320233,1.416561897347914,3.4617620394328683,3.115925159955002,4.037797723286287,3.8073073069367256,3.68192410647912
"['Employment rate', 'Interest Rate']",0.9283304174221064,1.105321462522044,1.410098114718662,6.380054007914978,10.724144056613346,5.797684743792175,1.7713385134650312,5.485663301983122,4.712020392983075
['Season'],0.9297044515220578,1.4699052384867757,1.7059033154557155,2.286992729531863,3.630403242773141,4.579001515964682,2.646154579350778,6.618860735909187,4.807773820670823
"['Total Monthly Car Sales', 'Population', 'Labour force', 'Employment', 'Full-time employment', 'Part-time employment', 'Unemployment', 'Unemployment rate', 'Participation rate', 'Employment rate', 'Average Monthly Oil Price', 'transit_ridership', 'Dollar Exchange Rate', 'gdp', 'Interest Rate', 'Season']",0.10015458222566792,0.4277979955000686,0.35927490206105345,8.595831873038774,46.2304825191016,40.48417646512218,5.3366831016027545,4.0367684226838385,4.3082909068806385
