make_and_model,Category
nissan qashqai,SUV
ram pickup,Pickup
mercedes benz citan,Van/Minivan
tesla model y,SUV
audi e tron gt,Sedan
ford maverick,Pickup
genesis gv70,SUV
hyundai santa cruz,SUV
infiniti qx55,SUV
jeep wagoneer,SUV
kia carnival,Minivan
mazda mx 30,SUV
toyota corolla cross,SUV
volkswagen id.4,SUV
volkswagen taos,SUV
nissan micra,Hatchback
toyota corolla cross,SUV
nissan micra,Hatchback
chrysler grand caravan,Minivan
ford mustang mach e,SUV
hyundai ioniq 5,SUV
mercedes citan,Van
