prop_large,prop_midsize,prop_small,Total Monthly Car Sales
0.2751326092447588,0.6182387327247141,0.10662865803052719,110852.0
0.26769868356899074,0.6349829351535836,0.09731838127742565,123060.0
0.24763135228251507,0.6391587348313872,0.11320991288609776,183438.0
0.2592419997697381,0.6300513703323994,0.1107066298978624,182401.0
0.26006801237309646,0.619244725571066,0.12068726205583756,201728.0
0.2461677237175321,0.6365724658792945,0.11725981040317339,178484.0
0.25240024739455386,0.6327578134483217,0.11484193915712444,173003.0
0.2662210422312868,0.6278502392793469,0.10592871848936629,181169.0
0.2704660289722879,0.6225681400847325,0.10696583094297957,166642.0
0.24184697886138304,0.6483070399700692,0.10984598116854773,160370.0
0.25313737752762144,0.6563199221735807,0.09054270029879787,143910.0
0.2665901388433366,0.6513428810903392,0.08206698006632411,109764.0
0.3014052270186831,0.6063235215840741,0.09227125139724278,112722.0
0.3157555338187878,0.6047241241893997,0.07952034199181249,138015.0
0.3203426538736101,0.5936550956454404,0.08600225048094956,82649.0
0.3538143847892153,0.558988545157017,0.08719707005376763,51332.0
0.328456510809452,0.5756326462208815,0.0959108429696665,119340.0
0.3034335018457296,0.5887284479563548,0.10783805019791559,134906.0
0.29420277220817714,0.6169122134077238,0.08888501438409903,172065.0
0.28418860369546217,0.6290281591490892,0.08678323715544867,161333.0
0.2936797244992917,0.6172745108499149,0.08904576465079336,168711.0
0.24460506505746846,0.6835624319130446,0.071832503029487,163394.0
0.24190157560413228,0.6878103548311745,0.0702880695646932,132711.0
0.1894046759543992,0.7183865015910367,0.09220882245456409,224382.0
0.32562213313107236,0.6122548488460289,0.06212301802289883,110748.0
0.31470505716490144,0.6183716770709126,0.06692326576418602,114056.0
0.269637996021359,0.6630522981886714,0.06730970578996964,152816.0
0.21448317229328848,0.7051598012752807,0.08035702643143085,153378.0
0.20879483557538714,0.7097123394368242,0.08149282498778862,151498.0
0.21147090600401297,0.6957308226578176,0.09279827133816947,161975.0
0.2207396635749096,0.699680343761463,0.07957999266362731,152664.0
0.21592251682923477,0.7067797774419563,0.0772977057288089,145580.0
0.23359687924488873,0.6986451185956603,0.06775800215945108,143555.0
0.25505471174260985,0.6773313735097175,0.06761391474767271,122460.0
0.27180393214910487,0.6573164257304241,0.07087964212047103,114899.0
0.2850798554602378,0.6492520159251188,0.06566812861464338,108759.0
