prop_large,prop_midsize,prop_small,Total Monthly Car Sales,Population,Labour force,Employment,Full-time employment,Part-time employment,Unemployment,Unemployment rate,Participation rate,Employment rate,Average Monthly Oil Price,transit_ridership,Dollar Exchange Rate,gdp,Interest Rate
0.32562213313107236,0.6122548488460289,0.06212301802289883,110748.0,31191200.0,20173600.0,18285600.0,15129300.0,3156300.0,1888000.0,0.094,0.647,0.586,1.11,46400000.0,1.2724,1948206000000.0,0.5
0.31470505716490144,0.6183716770709126,0.06692326576418602,114056.0,31216200.0,20242300.0,18558100.0,15224800.0,3333300.0,1684300.0,0.083,0.648,0.595,1.182,48800000.0,1.2699,1953500000000.0,0.5
0.269637996021359,0.6630522981886714,0.06730970578996964,152816.0,31234500.0,20356700.0,18834400.0,15384800.0,3449600.0,1522200.0,0.075,0.652,0.603,1.25,55000000.0,1.2574,1975763000000.0,0.5
0.21448317229328848,0.7051598012752807,0.08035702643143085,153378.0,31251600.0,20261300.0,18635600.0,15265500.0,3370000.0,1625700.0,0.08,0.648,0.596,1.275,51600000.0,1.2496,1954685000000.0,0.5
0.20879483557538714,0.7097123394368242,0.08149282498778862,151498.0,31265900.0,20195000.0,18584800.0,15277600.0,3307200.0,1610200.0,0.08,0.6459999999999999,0.594,1.315,51700000.0,1.2126,1944743000000.0,0.5
0.21147090600401297,0.6957308226578176,0.09279827133816947,161975.0,31283300.0,20343100.0,18799400.0,15235900.0,3563500.0,1543600.0,0.076,0.65,0.601,1.337,55300000.0,1.2219,1962958000000.0,0.5
0.2207396635749096,0.699680343761463,0.07957999266362731,152664.0,31315300.0,20396000.0,18879500.0,15303500.0,3576100.0,1516500.0,0.07400000000000001,0.6509999999999999,0.603,1.3840000000000001,62100000.0,1.2529,1972067000000.0,0.5
0.21592251682923477,0.7067797774419563,0.0772977057288089,145580.0,31356700.0,20402600.0,18947300.0,15345000.0,3602300.0,1455300.0,0.071,0.6509999999999999,0.604,1.39,65300000.0,1.2603,1982878000000.0,0.5
0.23359687924488873,0.6986451185956603,0.06775800215945108,143555.0,31391300.0,20560700.0,19121800.0,15558300.0,3563500.0,1438900.0,0.07,0.655,0.609,1.389,82200000.0,1.2671,1988759000000.0,0.5
0.25505471174260985,0.6773313735097175,0.06761391474767271,122460.0,31430000.0,20537400.0,19141800.0,15591100.0,3550700.0,1395700.0,0.068,0.653,0.609,1.46,86500000.0,1.2437,2006225000000.0,0.5
0.27180393214910487,0.6573164257304241,0.07087964212047103,114899.0,31466500.0,20559800.0,19297600.0,15654500.0,3643200.0,1262200.0,0.061,0.653,0.613,1.4580000000000002,91100000.0,1.257,2015998000000.0,0.5
0.2850798554602378,0.6492520159251188,0.06566812861464338,108759.0,31510300.0,20612300.0,19376200.0,15797300.0,3578900.0,1236100.0,0.06,0.654,0.615,1.4,82400000.0,1.2794,2017855000000.0,0.5
